strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url
KJ145804	wnv	KJ145804	2003-XX-XX	North America	USA					genome					
KJ145805	wnv	KJ145805	2003-XX-XX	North America	USA					genome					
KJ145807	wnv	KJ145807	2003-XX-XX	North America	USA					genome					
KJ145808	wnv	KJ145808	2003-XX-XX	North America	USA					genome					
KJ145809	wnv	KJ145809	2003-XX-XX	North America	USA					genome					
KJ145810	wnv	KJ145810	2006-XX-XX	North America	USA					genome					
KJ145811	wnv	KJ145811	2009-XX-XX	North America	USA					genome					
KJ145812	wnv	KJ145812	2008-XX-XX	North America	USA					genome					
KJ145813	wnv	KJ145813	2001-XX-XX	North America	USA					genome					
KJ145814	wnv	KJ145814	2001-XX-XX	North America	USA					genome					
KJ145815	wnv	KJ145815	2002-XX-XX	North America	USA					genome					
KJ145816	wnv	KJ145816	2002-XX-XX	North America	USA					genome					
KJ145817	wnv	KJ145817	2002-XX-XX	North America	USA					genome					
KJ145818	wnv	KJ145818	2003-XX-XX	North America	USA					genome					
KJ145819	wnv	KJ145819	2005-XX-XX	North America	USA					genome					
KJ145820	wnv	KJ145820	2008-XX-XX	North America	USA					genome					
KJ145821	wnv	KJ145821	2006-XX-XX	North America	USA					genome					
KJ145822	wnv	KJ145822	2006-XX-XX	North America	USA					genome					
KJ145823	wnv	KJ145823	2006-XX-XX	North America	USA					genome					
KJ145824	wnv	KJ145824	2009-XX-XX	North America	USA					genome					
KJ145825	wnv	KJ145825	2009-XX-XX	North America	USA					genome					
KJ145826	wnv	KJ145826	2010-XX-XX	North America	USA					genome					
KJ145830	wnv	KJ145830	2010-XX-XX	North America	USA					genome					
KJ145831	wnv	KJ145831	2006-XX-XX	North America	USA					genome					
KJ501097	wnv	KJ501097	2008-XX-XX	North America	USA					genome					
KJ501145	wnv	KJ501145	2011-XX-XX	North America	USA					genome					
KJ501151	wnv	KJ501151	2004-XX-XX	North America	USA					genome					
KJ501152	wnv	KJ501152	2004-XX-XX	North America	USA					genome					
KJ501153	wnv	KJ501153	2011-XX-XX	North America	USA					genome					
KJ501154	wnv	KJ501154	2011-XX-XX	North America	USA					genome					
KJ501155	wnv	KJ501155	2008-XX-XX	North America	USA					genome					
KJ501156	wnv	KJ501156	2004-XX-XX	North America	USA					genome					
KJ501157	wnv	KJ501157	2011-XX-XX	North America	USA					genome					
KJ501158	wnv	KJ501158	2011-XX-XX	North America	USA					genome					
KJ501159	wnv	KJ501159	2011-XX-XX	North America	USA					genome					
KJ501160	wnv	KJ501160	2011-XX-XX	North America	USA					genome					
KJ501161	wnv	KJ501161	2011-XX-XX	North America	USA					genome					
KJ501162	wnv	KJ501162	2007-XX-XX	North America	USA					genome					
KJ501163	wnv	KJ501163	2007-XX-XX	North America	USA					genome					
KJ501164	wnv	KJ501164	2008-XX-XX	North America	USA					genome					
KJ501165	wnv	KJ501165	2008-XX-XX	North America	USA					genome					
KJ501166	wnv	KJ501166	2007-XX-XX	North America	USA					genome					
KJ501167	wnv	KJ501167	2007-XX-XX	North America	USA					genome					
KJ501169	wnv	KJ501169	2006-XX-XX	North America	USA					genome					
KJ501171	wnv	KJ501171	2005-XX-XX	North America	USA					genome					
KJ501172	wnv	KJ501172	2005-XX-XX	North America	USA					genome					
KJ501173	wnv	KJ501173	2005-XX-XX	North America	USA					genome					
KJ501174	wnv	KJ501174	2008-XX-XX	North America	USA					genome					
KJ501175	wnv	KJ501175	2005-XX-XX	North America	USA					genome					
KJ501176	wnv	KJ501176	2008-XX-XX	North America	USA					genome					
KJ501177	wnv	KJ501177	2011-XX-XX	North America	USA					genome					
KJ501179	wnv	KJ501179	2011-XX-XX	North America	USA					genome					
KJ501180	wnv	KJ501180	2011-XX-XX	North America	USA					genome					
KJ501181	wnv	KJ501181	2010-XX-XX	North America	USA					genome					
KJ501182	wnv	KJ501182	2011-XX-XX	North America	USA					genome					
KJ501183	wnv	KJ501183	2005-XX-XX	North America	USA					genome					
KJ501184	wnv	KJ501184	2005-XX-XX	North America	USA					genome					
KJ501185	wnv	KJ501185	2005-XX-XX	North America	USA					genome					
KJ501187	wnv	KJ501187	2005-XX-XX	North America	USA					genome					
KJ501188	wnv	KJ501188	2005-XX-XX	North America	USA					genome					
KJ501189	wnv	KJ501189	2007-XX-XX	North America	USA					genome					
KJ501190	wnv	KJ501190	2008-XX-XX	North America	USA					genome					
KJ501191	wnv	KJ501191	2004-XX-XX	North America	USA					genome					
KJ501192	wnv	KJ501192	2007-XX-XX	North America	USA					genome					
KJ501193	wnv	KJ501193	2007-XX-XX	North America	USA					genome					
KJ501194	wnv	KJ501194	2009-XX-XX	North America	USA					genome					
KJ501196	wnv	KJ501196	2010-XX-XX	North America	USA					genome					
KJ501197	wnv	KJ501197	2011-XX-XX	North America	USA					genome					
KJ501198	wnv	KJ501198	2010-XX-XX	North America	USA					genome					
KJ501199	wnv	KJ501199	2011-XX-XX	North America	USA					genome					
KJ501200	wnv	KJ501200	2011-XX-XX	North America	USA					genome					
KJ501202	wnv	KJ501202	2004-XX-XX	North America	USA					genome					
KJ501203	wnv	KJ501203	2003-XX-XX	North America	USA					genome					
KJ501204	wnv	KJ501204	2007-XX-XX	North America	USA					genome					
KJ501205	wnv	KJ501205	2011-XX-XX	North America	USA					genome					
KJ501209	wnv	KJ501209	2012-XX-XX	North America	USA					genome					
KJ501210	wnv	KJ501210	2012-XX-XX	North America	USA					genome					
KJ501212	wnv	KJ501212	2012-XX-XX	North America	USA					genome					
KJ501213	wnv	KJ501213	2012-XX-XX	North America	USA					genome					
KJ501221	wnv	KJ501221	2012-XX-XX	North America	USA					genome					
KJ501223	wnv	KJ501223	2012-XX-XX	North America	USA					genome					
KJ501227	wnv	KJ501227	2012-XX-XX	North America	USA					genome					
KJ501231	wnv	KJ501231	2012-XX-XX	North America	USA					genome					
KJ501232	wnv	KJ501232	2012-XX-XX	North America	USA					genome					
KJ501252	wnv	KJ501252	2008-XX-XX	North America	USA					genome					
KJ501261	wnv	KJ501261	2002-XX-XX	North America	USA					genome					
KJ501316	wnv	KJ501316	2003-XX-XX	North America	USA					genome					
KJ501325	wnv	KJ501325	2002-XX-XX	North America	USA					genome					
KJ501334	wnv	KJ501334	2003-XX-XX	North America	USA					genome					
KJ501367	wnv	KJ501367	2003-XX-XX	North America	USA					genome					
KJ501433	wnv	KJ501433	2012-XX-XX	North America	USA					genome					
KJ501436	wnv	KJ501436	2012-XX-XX	North America	USA					genome					
KJ501444	wnv	KJ501444	2002-XX-XX	North America	USA					genome					
KJ501513	wnv	KJ501513	2002-XX-XX	North America	USA					genome					
KJ501528	wnv	KJ501528	2002-XX-XX	North America	USA					genome					
KM083619	wnv	KM083619	1999-XX-XX	North America	USA					genome					
MN849176	wnv	MN849176	2019-09-XX	North America	USA	DC	DC/District-Of-Columbia			genome					
MT967988	wnv	MT967988	2013-XX-XX	North America	USA					genome					
MT967989	wnv	MT967989	2013-XX-XX	North America	USA					genome					
MT967990	wnv	MT967990	2015-XX-XX	North America	USA					genome					
MT967991	wnv	MT967991	2015-XX-XX	North America	USA					genome					
MT967992	wnv	MT967992	2014-XX-XX	North America	USA					genome					
MT967993	wnv	MT967993	2017-XX-XX	North America	USA					genome					
MT967994	wnv	MT967994	2015-XX-XX	North America	USA					genome					
MT967995	wnv	MT967995	2018-XX-XX	North America	USA					genome					
MT967996	wnv	MT967996	2017-XX-XX	North America	USA					genome					
MT967997	wnv	MT967997	2014-XX-XX	North America	USA					genome					
MT967998	wnv	MT967998	2014-XX-XX	North America	USA					genome					
MT967999	wnv	MT967999	2017-XX-XX	North America	USA					genome					
MT968000	wnv	MT968000	2015-XX-XX	North America	USA					genome					
MT968001	wnv	MT968001	2013-XX-XX	North America	USA					genome					
MT968002	wnv	MT968002	2018-XX-XX	North America	USA					genome					
MT968003	wnv	MT968003	2013-XX-XX	North America	USA					genome					
MT968004	wnv	MT968004	2014-XX-XX	North America	USA					genome					
MT968005	wnv	MT968005	2016-XX-XX	North America	USA					genome					
MT968006	wnv	MT968006	2017-XX-XX	North America	USA					genome					
MT968007	wnv	MT968007	2018-XX-XX	North America	USA					genome					
MT968008	wnv	MT968008	2017-XX-XX	North America	USA					genome					
MT968009	wnv	MT968009	2018-XX-XX	North America	USA					genome					
MT968010	wnv	MT968010	2018-XX-XX	North America	USA					genome					
MT968011	wnv	MT968011	2018-XX-XX	North America	USA					genome					
MT968012	wnv	MT968012	2016-XX-XX	North America	USA					genome					
MT968013	wnv	MT968013	2015-XX-XX	North America	USA					genome					
MT968014	wnv	MT968014	2018-XX-XX	North America	USA					genome					
MT968015	wnv	MT968015	2018-XX-XX	North America	USA					genome					
MT968016	wnv	MT968016	2018-XX-XX	North America	USA					genome					
MT968017	wnv	MT968017	2016-XX-XX	North America	USA					genome					
MT968018	wnv	MT968018	2013-XX-XX	North America	USA					genome					
MT968019	wnv	MT968019	2018-XX-XX	North America	USA					genome					
MT968020	wnv	MT968020	2013-XX-XX	North America	USA					genome					
MT968021	wnv	MT968021	2013-XX-XX	North America	USA					genome					
MT968022	wnv	MT968022	2018-XX-XX	North America	USA					genome					
MT968023	wnv	MT968023	2016-XX-XX	North America	USA					genome					
MT968024	wnv	MT968024	2017-XX-XX	North America	USA					genome					
MT968025	wnv	MT968025	2017-XX-XX	North America	USA					genome					
MT968026	wnv	MT968026	2018-XX-XX	North America	USA					genome					
MT968027	wnv	MT968027	2016-XX-XX	North America	USA					genome					
MT968028	wnv	MT968028	2018-XX-XX	North America	USA					genome					
MT968029	wnv	MT968029	2018-XX-XX	North America	USA					genome					
MT968030	wnv	MT968030	2018-XX-XX	North America	USA					genome					
MT968031	wnv	MT968031	2016-XX-XX	North America	USA					genome					
MT968032	wnv	MT968032	2017-XX-XX	North America	USA					genome					
MZ605381	wnv	MZ605381	1999-XX-XX	North America	USA					genome					
NC_009942	wnv	NC_009942	1999-XX-XX	North America	USA					genome					
OP422646	wnv	OP422646	2017-03-XX	North America	USA					genome					
OQ721124	wnv	OQ721124	2016-XX-XX	North America	USA	WA	WA/Grant			genome					
OQ721125	wnv	OQ721125	2015-XX-XX	North America	USA	WA	WA/Grant			genome					
OQ721141	wnv	OQ721141	2017-XX-XX	North America	USA	ID	ID			genome					
OQ721199	wnv	OQ721199	2017-XX-XX	North America	USA	WA	WA/Grant			genome					
OQ721245	wnv	OQ721245	2017-XX-XX	North America	USA	WA	WA/Lincoln			genome					
OQ721286	wnv	OQ721286	2013-XX-XX	North America	USA	US-VI	US/VI			genome					
OQ721297	wnv	OQ721297	2016-XX-XX	North America	USA	WA	WA/Spokane			genome					
OQ721321	wnv	OQ721321	2017-XX-XX	North America	USA	OR	OR/Umatilla			genome					
OQ721333	wnv	OQ721333	2018-XX-XX	North America	USA	OR	OR/Morrow			genome					
OQ721349	wnv	OQ721349	2015-XX-XX	North America	USA	WA	WA/Grant			genome					
OQ721436	wnv	OQ721436	2015-XX-XX	North America	USA	WA	WA/Grant			genome					
OQ721496	wnv	OQ721496	2017-XX-XX	North America	USA	WA	WA/Walla-Walla			genome					
OQ721526	wnv	OQ721526	2015-XX-XX	North America	USA	WA	WA/Franklin			genome					
OQ721545	wnv	OQ721545	2014-XX-XX	North America	USA	OR	OR/Malheur			genome					
OQ721546	wnv	OQ721546	2018-XX-XX	North America	USA	OR	OR/Morrow			genome					
OQ721604	wnv	OQ721604	2015-XX-XX	North America	USA	IA	IA			genome					
OQ721612	wnv	OQ721612	2018-XX-XX	North America	USA	OR	OR/Umatilla			genome					
OQ721658	wnv	OQ721658	2017-XX-XX	North America	USA	ID	ID			genome					
OQ721662	wnv	OQ721662	2016-XX-XX	North America	USA	OR	OR/Josephine			genome					
OQ721680	wnv	OQ721680	2016-XX-XX	North America	USA	WA	WA/Spokane			genome					
OQ721704	wnv	OQ721704	2017-XX-XX	North America	USA	OR	OR/Klamath			genome					
OQ721752	wnv	OQ721752	2014-XX-XX	North America	USA	OR	OR/Malheur			genome					
OQ721789	wnv	OQ721789	2016-XX-XX	North America	USA	OR	OR/Jackson			genome					
OQ721803	wnv	OQ721803	2015-XX-XX	North America	USA	WA	WA/Kittitas			genome					
OQ721839	wnv	OQ721839	2016-XX-XX	North America	USA	WA	WA/Grant			genome					
AF202541	wnv	AF202541	1999-08-28	North America	USA	NY	NY/Madison			genome					
AF260967	wnv	AF260967	1999-08-01	North America	USA	NY	NY/New-York			genome					
AF404753	wnv	AF404753	2000-08-01	North America	USA	MD	MD/Baltimore			genome					
AF404754	wnv	AF404754	2000-08-01	North America	USA	NJ	NJ/Bergen			genome					
AF404755	wnv	AF404755	2000-08-01	North America	USA	NY	NY/Oswego			genome					
AF404756	wnv	AF404756	2000-08-01	North America	USA	NY	NY/Rockland			genome					
AF481864	wnv	AF481864	1998-08-28	North America	USA	ISR/D	ISR/D/Eilat			genome					
AF533540	wnv	AF533540	2001-09-15	North America	USA	NY	NY/Nassau			genome					
AY289214	wnv	AY289214	2002-08-15	North America	USA	TX	TX/Jefferson			genome					
AY646354	wnv	AY646354	2002-08-01	North America	USA	NY	NY/Madison			genome					
AY660002	wnv	AY660002	2003-05-05	North America	USA	MEX/TAB	MEX/TAB			genome					
AY712945	wnv	AY712945	2003-08-01	North America	USA	TX	TX/Harris			genome					
AY712946	wnv	AY712946	2003-08-01	North America	USA	TX	TX/Harris			genome					
AY712947	wnv	AY712947	2003-08-01	North America	USA	TX	TX/Harris			genome					
AY712948	wnv	AY712948	2003-08-01	North America	USA	TX	TX/Harris			genome					
AY795965	wnv	AY795965	2002-08-01	North America	USA	MI	MI/Isabella			genome					
DQ005530	wnv	DQ005530	2003-08-01	North America	USA	UT	UT/Sanpete			genome					
DQ080051	wnv	DQ080051	2003-08-01	North America	USA	AZ	AZ/Cochise			genome					
DQ080052	wnv	DQ080052	2003-08-01	North America	USA	AZ	AZ/Maricopoa			genome					
DQ080053	wnv	DQ080053	2003-08-01	North America	USA	AZ	AZ/Apache			genome					
DQ080054	wnv	DQ080054	2003-08-01	North America	USA	CA	CA/Los-Angeles			genome					
DQ080055	wnv	DQ080055	2003-08-01	North America	USA	CA	CA/Imperial			genome					
DQ080056	wnv	DQ080056	2003-08-01	North America	USA	CA	CA/Imperial			genome					
DQ080057	wnv	DQ080057	2003-08-01	North America	USA	CA	CA/Los-Angeles			genome					
DQ080058	wnv	DQ080058	2003-08-01	North America	USA	CA	CA/Los-Angeles			genome					
DQ080059	wnv	DQ080059	2003-08-01	North America	USA	CA	CA/Sacramento			genome					
DQ080060	wnv	DQ080060	2004-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080061	wnv	DQ080061	2004-08-01	North America	USA	LA	LA/Iberia			genome					
DQ080062	wnv	DQ080062	2002-08-01	North America	USA	LA	LA/Iberia			genome					
DQ080063	wnv	DQ080063	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080064	wnv	DQ080064	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080065	wnv	DQ080065	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080066	wnv	DQ080066	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080067	wnv	DQ080067	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080068	wnv	DQ080068	2003-08-01	North America	USA	MEX/BCN	MEX/BCN			genome					
DQ080069	wnv	DQ080069	2003-08-01	North America	USA	MEX/TAM	MEX/TAM			genome					
DQ080070	wnv	DQ080070	2003-08-01	North America	USA	MEX/SON	MEX/SON			genome					
DQ080071	wnv	DQ080071	2002-08-01	North America	USA	FL	FL/Sumter			genome					
DQ080072	wnv	DQ080072	2001-08-01	North America	USA	FL	FL/Palm-Beach			genome					
DQ164186	wnv	DQ164186	2002-08-01	North America	USA	NY	NY/Queens			genome					
DQ164187	wnv	DQ164187	2002-08-01	North America	USA	NY	NY/Broome			genome					
DQ164188	wnv	DQ164188	2003-08-01	North America	USA	NY	NY/Westchester			genome					
DQ164189	wnv	DQ164189	2003-08-01	North America	USA	NY	NY/Albany			genome					
DQ164190	wnv	DQ164190	2003-08-01	North America	USA	NY	NY/Suffolk			genome					
DQ164191	wnv	DQ164191	2003-08-01	North America	USA	NY	NY/Chautauqua			genome					
DQ164192	wnv	DQ164192	2003-08-01	North America	USA	NY	NY/Rockland			genome					
DQ164193	wnv	DQ164193	2002-08-01	North America	USA	NY	NY/Clinton			genome					
DQ164194	wnv	DQ164194	2001-08-01	North America	USA	NY	NY/Suffolk			genome					
DQ164195	wnv	DQ164195	2002-08-01	North America	USA	NY	NY/Nassau			genome					
DQ164196	wnv	DQ164196	2002-08-01	North America	USA	GA	GA/Wilkinson			genome					
DQ164197	wnv	DQ164197	2002-08-01	North America	USA	GA	GA/Wilkinson			genome					
DQ164198	wnv	DQ164198	2002-08-01	North America	USA	TX	TX/Concho			genome					
DQ164199	wnv	DQ164199	2003-08-01	North America	USA	TX	TX/Concho			genome					
DQ164200	wnv	DQ164200	2002-08-01	North America	USA	IN	IN/Hendricks			genome					
DQ164201	wnv	DQ164201	2004-08-01	North America	USA	AZ	AZ/Yavapai			genome					
DQ164202	wnv	DQ164202	2002-08-01	North America	USA	OH	OH/Licking			genome					
DQ164203	wnv	DQ164203	2003-08-01	North America	USA	CO	CO/Park			genome					
DQ164204	wnv	DQ164204	2003-08-01	North America	USA	CO	CO/Park			genome					
DQ164205	wnv	DQ164205	2002-08-01	North America	USA	TX	TX/Concho			genome					
DQ164206	wnv	DQ164206	2004-08-01	North America	USA	TX	TX/Harris			genome					
DQ176637	wnv	DQ176637	2002-08-01	North America	USA	TX	TX/Hall			genome					
DQ431693	wnv	DQ431693	2003-08-01	North America	USA	TX	TX/Potter			genome					
DQ431694	wnv	DQ431694	2003-08-01	North America	USA	TX	TX/Potter			genome					
DQ431695	wnv	DQ431695	2003-08-01	North America	USA	IL	IL/Cook			genome					
DQ431696	wnv	DQ431696	2003-08-01	North America	USA	WI	WI/Milwaukee			genome					
DQ431697	wnv	DQ431697	2003-08-01	North America	USA	FL	FL/Hillsborough			genome					
DQ431698	wnv	DQ431698	2003-08-01	North America	USA	FL	FL/Hillsborough			genome					
DQ431699	wnv	DQ431699	2003-08-01	North America	USA	FL	FL/Hillsborough			genome					
DQ431700	wnv	DQ431700	2004-08-01	North America	USA	CA	CA/San-Fransisco			genome					
DQ431701	wnv	DQ431701	2004-08-01	North America	USA	CO	CO/Mesa			genome					
DQ431702	wnv	DQ431702	2004-08-01	North America	USA	CO	CO/Mesa			genome					
DQ431703	wnv	DQ431703	2004-08-01	North America	USA	CO	CO/Mesa			genome					
DQ431704	wnv	DQ431704	2004-08-01	North America	USA	CO	CO/Mesa			genome					
DQ431705	wnv	DQ431705	2004-08-01	North America	USA	ND	ND/Burleigh			genome					
DQ431706	wnv	DQ431706	2004-08-01	North America	USA	NM	NM/Bernalillo			genome					
DQ431707	wnv	DQ431707	2004-08-01	North America	USA	NM	NM/Bernalillo			genome					
DQ431708	wnv	DQ431708	2004-07-16	North America	USA	CA	CA/San-Diego			genome					
DQ431709	wnv	DQ431709	2004-07-16	North America	USA	CA	CA/Los-Angeles			genome					
DQ431710	wnv	DQ431710	2004-07-31	North America	USA	CA	CA/Los-Angeles			genome					
DQ431711	wnv	DQ431711	2004-08-01	North America	USA	AZ	AZ/Maricopa			genome					
DQ431712	wnv	DQ431712	2004-08-01	North America	USA	AZ	AZ/Maricopa			genome					
DQ666448	wnv	DQ666448	2004-08-01	North America	USA	AZ	AZ/Yavapai			genome					
DQ666449	wnv	DQ666449	2005-08-01	North America	USA	TX	TX/Concho			genome					
DQ666450	wnv	DQ666450	2005-08-01	North America	USA	TX	TX/Concho			genome					
DQ666451	wnv	DQ666451	2005-08-01	North America	USA	AZ	AZ/Yavapai			genome					
DQ666452	wnv	DQ666452	2005-08-01	North America	USA	SD	SD/Stanley			genome					
DQ983578	wnv	DQ983578	2003-08-01	North America	USA	FL	FL/Indian-River			genome					
FJ151394	wnv	FJ151394	1999-08-01	North America	USA	NY	NY/New-York			genome					
GQ379160	wnv	GQ379160	2006-02-28	North America	USA	ARG/B	ARG/B/San-Antonio-De-Areco			genome					
GQ507468	wnv	GQ507468	2005-08-03	North America	USA	TX	TX/El-Paso			genome					
GQ507469	wnv	GQ507469	2005-09-01	North America	USA	NM	NM/Dona-Ana			genome					
GQ507470	wnv	GQ507470	2006-08-30	North America	USA	TX	TX/El-Paso			genome					
GQ507471	wnv	GQ507471	2007-06-23	North America	USA	TX	TX/El-Paso			genome					
GQ507472	wnv	GQ507472	2003-07-14	North America	USA	CA	CA/Orange			genome					
GQ507473	wnv	GQ507473	2004-07-24	North America	USA	CA	CA/Los-Angeles			genome					
GQ507474	wnv	GQ507474	2004-08-27	North America	USA	CA	CA/San-Bernardino			genome					
GQ507475	wnv	GQ507475	2005-06-27	North America	USA	CA	CA/San-Bernardino			genome					
GQ507476	wnv	GQ507476	2005-07-27	North America	USA	CA	CA/San-Bernardino			genome					
GQ507477	wnv	GQ507477	2005-08-01	North America	USA	CA	CA/Los-Angeles			genome					
GQ507478	wnv	GQ507478	2005-08-26	North America	USA	CA	CA/Los-Angeles			genome					
GQ507479	wnv	GQ507479	2005-09-09	North America	USA	AZ	AZ/Pima			genome					
GQ507480	wnv	GQ507480	2005-10-04	North America	USA	CA	CA/Los-Angeles			genome					
GQ507481	wnv	GQ507481	2006-08-22	North America	USA	NE	NE/Douglas			genome					
GQ507482	wnv	GQ507482	2006-09-03	North America	USA	AZ	AZ/Pima			genome					
GQ507483	wnv	GQ507483	2007-08-02	North America	USA	CA	CA/Los-Angeles			genome					
GQ507484	wnv	GQ507484	2007-08-16	North America	USA	CA	CA/Los-Angeles			genome					
GU827998	wnv	GU827998	2002-08-01	North America	USA	TX	TX/Harris			genome					
GU827999	wnv	GU827999	2003-08-01	North America	USA	TX	TX/Montgomery			genome					
GU828000	wnv	GU828000	2003-08-01	North America	USA	TX	TX/Harris			genome					
GU828001	wnv	GU828001	2003-08-01	North America	USA	TX	TX/Harris			genome					
GU828002	wnv	GU828002	2003-08-01	North America	USA	TX	TX/Harris			genome					
GU828003	wnv	GU828003	2003-08-01	North America	USA	TX	TX/Jefferson			genome					
GU828004	wnv	GU828004	2003-08-01	North America	USA	TX	TX/Montgomery			genome					
HM488114	wnv	HM488114	2002-10-01	North America	USA	CT	CT/Fairfield			genome					
HM488115	wnv	HM488115	2005-08-22	North America	USA	CT	CT/Fairfield			genome					
HM488116	wnv	HM488116	2005-08-22	North America	USA	CT	CT/Fairfield			genome					
HM488117	wnv	HM488117	2005-08-22	North America	USA	CT	CT/Fairfield			genome					
HM488118	wnv	HM488118	2005-08-29	North America	USA	CT	CT/Fairfield			genome					
HM488119	wnv	HM488119	2005-09-06	North America	USA	CT	CT/Fairfield			genome					
HM488120	wnv	HM488120	2005-09-06	North America	USA	CT	CT/Fairfield			genome					
HM488121	wnv	HM488121	2005-09-25	North America	USA	CT	CT/Fairfield			genome					
HM488122	wnv	HM488122	2006-08-01	North America	USA	CT	CT			genome					
HM488123	wnv	HM488123	2006-08-01	North America	USA	CT	CT			genome					
HM488124	wnv	HM488124	2006-08-01	North America	USA	CT	CT			genome					
HM488125	wnv	HM488125	1999-09-29	North America	USA	CT	CT/Fairfield			genome					
HM488126	wnv	HM488126	1999-09-25	North America	USA	CT	CT/Fairfield			genome					
HM488127	wnv	HM488127	1999-09-24	North America	USA	CT	CT/Fairfield			genome					
HM488128	wnv	HM488128	1999-09-27	North America	USA	CT	CT/Fairfield			genome					
HM488129	wnv	HM488129	2000-09-21	North America	USA	CT	CT/New-Haven			genome					
HM488130	wnv	HM488130	2000-09-18	North America	USA	CT	CT/New-Haven			genome					
HM488131	wnv	HM488131	2000-09-21	North America	USA	CT	CT/New-Haven			genome					
HM488132	wnv	HM488132	2000-09-20	North America	USA	CT	CT/Fairfield			genome					
HM488133	wnv	HM488133	2001-07-16	North America	USA	CT	CT/Fairfield			genome					
HM488134	wnv	HM488134	2001-09-06	North America	USA	CT	CT/Fairfield			genome					
HM488135	wnv	HM488135	2001-09-06	North America	USA	CT	CT/Fairfield			genome					
HM488136	wnv	HM488136	2001-09-07	North America	USA	CT	CT/Fairfield			genome					
HM488137	wnv	HM488137	2002-08-20	North America	USA	CT	CT/Fairfield			genome					
HM488138	wnv	HM488138	2003-08-18	North America	USA	CT	CT/Fairfield			genome					
HM488139	wnv	HM488139	2003-10-07	North America	USA	CT	CT/Fairfield			genome					
HM488140	wnv	HM488140	2003-08-12	North America	USA	CT	CT/Fairfield			genome					
HM488141	wnv	HM488141	2003-09-16	North America	USA	CT	CT/Fairfield			genome					
HM488142	wnv	HM488142	2004-07-12	North America	USA	CT	CT/Fairfield			genome					
HM488143	wnv	HM488143	2004-08-09	North America	USA	CT	CT/Fairfield			genome					
