strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url	latitude	longitude	county
OQ721349	wnv	OQ721349	2015-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721436	wnv	OQ721436	2015-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721496	wnv	OQ721496	2017-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721526	wnv	OQ721526	2015-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721545	wnv	OQ721545	2014-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721546	wnv	OQ721546	2018-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721604	wnv	OQ721604	2015-XX-XX	North America	USA	NA	IA			genome						42.0115	-93.2105	
OQ721612	wnv	OQ721612	2018-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721658	wnv	OQ721658	2017-XX-XX	North America	USA	NA	ID			genome						44.2405	-114.4788	
OQ721662	wnv	OQ721662	2016-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721680	wnv	OQ721680	2016-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721704	wnv	OQ721704	2017-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721752	wnv	OQ721752	2014-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721789	wnv	OQ721789	2016-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721803	wnv	OQ721803	2015-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721839	wnv	OQ721839	2016-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
AF202541	wnv	AF202541	1999-08-28	North America	USA	NA	NY			genome						42.1657	-74.9481	
AF260967	wnv	AF260967	1999-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
AF404753	wnv	AF404753	2000-08-01	North America	USA	NA	MD			genome						39.0639	-76.8021	
AF404754	wnv	AF404754	2000-08-01	North America	USA	NA	NJ			genome						40.2989	-74.521	
AF404755	wnv	AF404755	2000-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
AF404756	wnv	AF404756	2000-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
AF481864	wnv	AF481864	1998-08-28	North America	USA	NA	ISR/D/Eilat			genome								
AF533540	wnv	AF533540	2001-09-15	North America	USA	NA	NY			genome						42.1657	-74.9481	
AY289214	wnv	AY289214	2002-08-15	North America	USA	NA	TX			genome						31.0545	-97.5635	
AY646354	wnv	AY646354	2002-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
AY660002	wnv	AY660002	2003-05-05	North America	USA	NA	MEX/TAB			genome								
AY712945	wnv	AY712945	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
AY712946	wnv	AY712946	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
AY712947	wnv	AY712947	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
AY712948	wnv	AY712948	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
AY795965	wnv	AY795965	2002-08-01	North America	USA	NA	MI			genome						43.3266	-84.5361	
DQ005530	wnv	DQ005530	2003-08-01	North America	USA	NA	UT			genome						40.15	-111.8624	
DQ080051	wnv	DQ080051	2003-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ080052	wnv	DQ080052	2003-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ080053	wnv	DQ080053	2003-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ080054	wnv	DQ080054	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080055	wnv	DQ080055	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080056	wnv	DQ080056	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080057	wnv	DQ080057	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080058	wnv	DQ080058	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080059	wnv	DQ080059	2003-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ080060	wnv	DQ080060	2004-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080061	wnv	DQ080061	2004-08-01	North America	USA	NA	LA			genome						31.1695	-91.8678	
DQ080062	wnv	DQ080062	2002-08-01	North America	USA	NA	LA			genome						31.1695	-91.8678	
DQ080063	wnv	DQ080063	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080064	wnv	DQ080064	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080065	wnv	DQ080065	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080066	wnv	DQ080066	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080067	wnv	DQ080067	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080068	wnv	DQ080068	2003-08-01	North America	USA	NA	MEX/BCN			genome								
DQ080069	wnv	DQ080069	2003-08-01	North America	USA	NA	MEX/TAM			genome								
DQ080070	wnv	DQ080070	2003-08-01	North America	USA	NA	MEX/SON			genome								
DQ080071	wnv	DQ080071	2002-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
DQ080072	wnv	DQ080072	2001-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
DQ164186	wnv	DQ164186	2002-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164187	wnv	DQ164187	2002-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164188	wnv	DQ164188	2003-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164189	wnv	DQ164189	2003-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164190	wnv	DQ164190	2003-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164191	wnv	DQ164191	2003-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164192	wnv	DQ164192	2003-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164193	wnv	DQ164193	2002-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164194	wnv	DQ164194	2001-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164195	wnv	DQ164195	2002-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
DQ164196	wnv	DQ164196	2002-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
DQ164197	wnv	DQ164197	2002-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
DQ164198	wnv	DQ164198	2002-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ164199	wnv	DQ164199	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ164200	wnv	DQ164200	2002-08-01	North America	USA	NA	IN			genome						39.8494	-86.2583	
DQ164201	wnv	DQ164201	2004-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ164202	wnv	DQ164202	2002-08-01	North America	USA	NA	OH			genome						40.3888	-82.7649	
DQ164203	wnv	DQ164203	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ164204	wnv	DQ164204	2003-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ164205	wnv	DQ164205	2002-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ164206	wnv	DQ164206	2004-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ176637	wnv	DQ176637	2002-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ431693	wnv	DQ431693	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ431694	wnv	DQ431694	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ431695	wnv	DQ431695	2003-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
DQ431696	wnv	DQ431696	2003-08-01	North America	USA	NA	WI			genome						44.2685	-89.6165	
DQ431697	wnv	DQ431697	2003-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
DQ431698	wnv	DQ431698	2003-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
DQ431699	wnv	DQ431699	2003-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
DQ431700	wnv	DQ431700	2004-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ431701	wnv	DQ431701	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ431702	wnv	DQ431702	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ431703	wnv	DQ431703	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ431704	wnv	DQ431704	2004-08-01	North America	USA	NA	CO			genome						39.0598	-105.3111	
DQ431705	wnv	DQ431705	2004-08-01	North America	USA	NA	ND			genome						47.5289	-99.784	
DQ431706	wnv	DQ431706	2004-08-01	North America	USA	NA	NM			genome						34.8405	-106.2485	
DQ431707	wnv	DQ431707	2004-08-01	North America	USA	NA	NM			genome						34.8405	-106.2485	
DQ431708	wnv	DQ431708	2004-07-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ431709	wnv	DQ431709	2004-07-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ431710	wnv	DQ431710	2004-07-31	North America	USA	NA	CA			genome						36.1162	-119.6816	
DQ431711	wnv	DQ431711	2004-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ431712	wnv	DQ431712	2004-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ666448	wnv	DQ666448	2004-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ666449	wnv	DQ666449	2005-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ666450	wnv	DQ666450	2005-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
DQ666451	wnv	DQ666451	2005-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
DQ666452	wnv	DQ666452	2005-08-01	North America	USA	NA	SD			genome						44.2998	-99.4388	
DQ983578	wnv	DQ983578	2003-08-01	North America	USA	NA	FL			genome						27.7663	-81.6868	
FJ151394	wnv	FJ151394	1999-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
GQ379160	wnv	GQ379160	2006-02-28	North America	USA	NA	ARG/B/San-Antonio-De-Areco			genome								
GQ507468	wnv	GQ507468	2005-08-03	North America	USA	NA	TX			genome						31.0545	-97.5635	
GQ507469	wnv	GQ507469	2005-09-01	North America	USA	NA	NM			genome						34.8405	-106.2485	
GQ507470	wnv	GQ507470	2006-08-30	North America	USA	NA	TX			genome						31.0545	-97.5635	
GQ507471	wnv	GQ507471	2007-06-23	North America	USA	NA	TX			genome						31.0545	-97.5635	
GQ507472	wnv	GQ507472	2003-07-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507473	wnv	GQ507473	2004-07-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507474	wnv	GQ507474	2004-08-27	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507475	wnv	GQ507475	2005-06-27	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507476	wnv	GQ507476	2005-07-27	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507477	wnv	GQ507477	2005-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507478	wnv	GQ507478	2005-08-26	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507479	wnv	GQ507479	2005-09-09	North America	USA	NA	AZ			genome						33.7298	-111.4312	
GQ507480	wnv	GQ507480	2005-10-04	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507481	wnv	GQ507481	2006-08-22	North America	USA	NE	NE/Douglas			genome						41.3148	-96.1951	Douglas
GQ507482	wnv	GQ507482	2006-09-03	North America	USA	NA	AZ			genome						33.7298	-111.4312	
GQ507483	wnv	GQ507483	2007-08-02	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ507484	wnv	GQ507484	2007-08-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
GU827998	wnv	GU827998	2002-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU827999	wnv	GU827999	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU828000	wnv	GU828000	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU828001	wnv	GU828001	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU828002	wnv	GU828002	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU828003	wnv	GU828003	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
GU828004	wnv	GU828004	2003-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
HM488114	wnv	HM488114	2002-10-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488115	wnv	HM488115	2005-08-22	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488116	wnv	HM488116	2005-08-22	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488117	wnv	HM488117	2005-08-22	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488118	wnv	HM488118	2005-08-29	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488119	wnv	HM488119	2005-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488120	wnv	HM488120	2005-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488121	wnv	HM488121	2005-09-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488122	wnv	HM488122	2006-08-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488123	wnv	HM488123	2006-08-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488124	wnv	HM488124	2006-08-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488125	wnv	HM488125	1999-09-29	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488126	wnv	HM488126	1999-09-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488127	wnv	HM488127	1999-09-24	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488128	wnv	HM488128	1999-09-27	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488129	wnv	HM488129	2000-09-21	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488130	wnv	HM488130	2000-09-18	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488131	wnv	HM488131	2000-09-21	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488132	wnv	HM488132	2000-09-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488133	wnv	HM488133	2001-07-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488134	wnv	HM488134	2001-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488135	wnv	HM488135	2001-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488136	wnv	HM488136	2001-09-07	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488137	wnv	HM488137	2002-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488138	wnv	HM488138	2003-08-18	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488139	wnv	HM488139	2003-10-07	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488140	wnv	HM488140	2003-08-12	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488141	wnv	HM488141	2003-09-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488142	wnv	HM488142	2004-07-12	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488143	wnv	HM488143	2004-08-09	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488144	wnv	HM488144	2004-08-17	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488145	wnv	HM488145	2004-08-30	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488146	wnv	HM488146	2004-08-30	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488147	wnv	HM488147	2004-09-13	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488148	wnv	HM488148	2004-10-04	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488149	wnv	HM488149	2005-08-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488150	wnv	HM488150	2005-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488151	wnv	HM488151	2005-09-06	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488152	wnv	HM488152	2005-08-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488153	wnv	HM488153	2005-08-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488154	wnv	HM488154	2005-08-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488155	wnv	HM488155	2006-08-31	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488156	wnv	HM488156	2006-09-13	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488157	wnv	HM488157	2006-09-18	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488158	wnv	HM488158	2006-07-31	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488159	wnv	HM488159	2006-08-14	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488160	wnv	HM488160	2006-09-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488161	wnv	HM488161	2007-08-22	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488162	wnv	HM488162	2007-09-04	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488163	wnv	HM488163	2007-08-29	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488164	wnv	HM488164	2007-08-30	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488165	wnv	HM488165	2007-08-30	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488166	wnv	HM488166	2008-09-10	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488167	wnv	HM488167	2008-09-10	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488168	wnv	HM488168	2008-09-10	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488169	wnv	HM488169	2008-09-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488170	wnv	HM488170	2008-09-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488171	wnv	HM488171	2003-07-08	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488172	wnv	HM488172	2003-08-11	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488173	wnv	HM488173	2003-08-12	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488174	wnv	HM488174	2003-08-12	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488175	wnv	HM488175	2003-08-19	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488176	wnv	HM488176	2003-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488177	wnv	HM488177	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488178	wnv	HM488178	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488179	wnv	HM488179	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488180	wnv	HM488180	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488181	wnv	HM488181	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488182	wnv	HM488182	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488183	wnv	HM488183	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488184	wnv	HM488184	2002-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488185	wnv	HM488185	2003-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488186	wnv	HM488186	2003-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488187	wnv	HM488187	2003-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488188	wnv	HM488188	2004-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488189	wnv	HM488189	2004-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488190	wnv	HM488190	2004-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488191	wnv	HM488191	2004-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488192	wnv	HM488192	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488193	wnv	HM488193	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488194	wnv	HM488194	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488195	wnv	HM488195	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488196	wnv	HM488196	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488197	wnv	HM488197	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488198	wnv	HM488198	2005-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM488199	wnv	HM488199	2007-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488200	wnv	HM488200	2007-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488201	wnv	HM488201	2007-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488202	wnv	HM488202	2007-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488203	wnv	HM488203	2008-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488204	wnv	HM488204	2008-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488205	wnv	HM488205	2008-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488206	wnv	HM488206	2008-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488207	wnv	HM488207	2008-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
HM488208	wnv	HM488208	2002-08-19	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488209	wnv	HM488209	2003-08-14	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488210	wnv	HM488210	2003-08-18	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488211	wnv	HM488211	2003-08-01	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488212	wnv	HM488212	2003-08-19	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488213	wnv	HM488213	2003-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488214	wnv	HM488214	2003-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488215	wnv	HM488215	2003-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488216	wnv	HM488216	2003-08-20	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488217	wnv	HM488217	2003-08-21	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488218	wnv	HM488218	2003-08-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488219	wnv	HM488219	2003-08-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488220	wnv	HM488220	2003-08-25	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488221	wnv	HM488221	2003-09-03	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488222	wnv	HM488222	2003-09-09	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488223	wnv	HM488223	2003-09-11	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488224	wnv	HM488224	2003-09-11	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488225	wnv	HM488225	2003-09-15	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488226	wnv	HM488226	2003-09-15	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488227	wnv	HM488227	2003-09-15	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488228	wnv	HM488228	2003-09-15	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488229	wnv	HM488229	2003-09-15	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488230	wnv	HM488230	2003-09-16	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488231	wnv	HM488231	2003-09-17	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488232	wnv	HM488232	2003-09-17	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM488233	wnv	HM488233	2003-09-17	North America	USA	NA	CT			genome						41.5978	-72.7554	
